session_id,user_id
1,318
2,149
3,580
4,656
5,946
6,569
7,946
8,352
9,917
10,361
11,989
12,308
13,468
14,138
15,575
16,684
17,305
18,529
19,580
20,213
21,989
22,213
23,104
24,29
25,527
26,815
27,884
28,779
29,324
30,831
31,138
32,328
33,251
34,639
35,381
36,580
37,213
38,973
39,454
40,68
41,68
42,255
43,720
44,884
45,575
46,960
47,989
48,19
49,575
50,94
51,445
52,656
53,19
54,656
55,570
56,575
57,361
58,912
59,915
60,405
61,499
62,432
63,575
64,318
65,251
66,543
67,656
68,197
69,384
70,984
71,474
72,997
73,575
74,989
75,213
76,213
77,149
78,656
79,375
80,120
81,660
82,200
83,251
84,328
85,213
86,656
87,391
88,149
89,989
90,740
91,939
92,620
93,917
94,933
95,405
96,946
97,255
98,254
99,429
100,759
101,42
102,916
103,917
104,94
105,120
106,149
107,149
108,928
109,832
110,660
111,42
112,989
113,262
114,432
115,405
116,352
117,848
118,213
119,656
120,120
121,213
122,139
123,405
124,68
125,997
126,61
127,405
128,989
129,454
130,328
131,846
132,626
133,213
134,660
135,656
136,527
137,42
138,989
139,917
140,50
141,933
142,815
143,483
144,120
145,946
146,989
147,580
148,328
149,104
150,318
151,343
152,361
153,256
154,446
155,273
156,68
157,570
158,269
159,984
160,405
161,762
162,846
163,136
164,989
165,120
166,61
167,328
168,915
169,59
170,557
171,48
172,83
173,104
174,202
175,839
176,97
177,809
178,984
179,120
180,575
181,586
182,251
183,605
184,656
185,328
186,580
187,765
188,848
189,620
190,361
191,984
192,318
193,933
194,328
195,933
196,594
197,613
198,188
199,656
200,478
201,454
202,468
203,721
204,575
205,405
206,677
207,984
208,933
209,454
210,861
211,50
212,512
213,49
214,361
215,840
216,50
217,660
218,158
219,974
220,989
221,928
222,328
223,884
224,884
225,262
226,762
227,68
228,325
229,149
230,932
231,498
232,721
233,815
234,498
235,54
236,580
237,202
238,605
239,529
240,94
241,832
242,352
243,127
244,832
245,68
246,834
247,325
248,926
249,767
250,558
251,224
252,848
253,767
254,706
255,551
256,660
257,989
258,200
259,557
260,706
261,946
262,391
263,789
264,902
265,884
266,438
267,848
